"Screen","Route","Columns","Sorting","Filtering","Search","Pagination","Expected Response","Example JSON"
"Dashboard","""""","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Not explicit; return stable default order.","Basic status/date filters if service list accepts params.","Optional.","Return array or paged result; prefer paged.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"Dashboard","urls.dashboard","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Not explicit; return stable default order.","Basic status/date filters if service list accepts params.","Optional.","Return array or paged result; prefer paged.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"AppointmentReminder","urls.manager_work","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Client sends sort/sortBy/order where present.","Filter modal/query params; support dynamic filters.","keyword/search text expected.","pageIndex/pageSize/total expected.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"PatientRecordList","urls.customer","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Not explicit; return stable default order.","Filter modal/query params; support dynamic filters.","keyword/search text expected.","pageIndex/pageSize/total expected.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"DetailPersonList","urls.detail_person","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Not explicit; return stable default order.","Filter modal/query params; support dynamic filters.","keyword/search text expected.","Return array or paged result; prefer paged.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"ContactList","urls.contact","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Not explicit; return stable default order.","Filter modal/query params; support dynamic filters.","keyword/search text expected.","pageIndex/pageSize/total expected.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"ScheduleNextList","urls.schedule_next","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Not explicit; return stable default order.","Filter modal/query params; support dynamic filters.","keyword/search text expected.","pageIndex/pageSize/total expected.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"TreatmentScheduleList","urls.schedule","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Not explicit; return stable default order.","Filter modal/query params; support dynamic filters.","keyword/search text expected.","pageIndex/pageSize/total expected.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"TimeKeepingList","urls.timekeeping","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Not explicit; return stable default order.","Filter modal/query params; support dynamic filters.","keyword/search text expected.","pageIndex/pageSize/total expected.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"CashBookList","urls.cashbook","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Not explicit; return stable default order.","Filter modal/query params; support dynamic filters.","keyword/search text expected.","pageIndex/pageSize/total expected.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"ManageDataSharing","urls.manage_data_sharing","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Not explicit; return stable default order.","Filter modal/query params; support dynamic filters.","keyword/search text expected.","pageIndex/pageSize/total expected.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"MedicalAIStatistics","urls.report_common","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Not explicit; return stable default order.","Filter modal/query params; support dynamic filters.","keyword/search text expected.","pageIndex/pageSize/total expected.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"ReportCustomer","urls.report_customer","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Not explicit; return stable default order.","Filter modal/query params; support dynamic filters.","Optional.","Return array or paged result; prefer paged.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"EarningList","urls.earnings","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Not explicit; return stable default order.","Filter modal/query params; support dynamic filters.","keyword/search text expected.","pageIndex/pageSize/total expected.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"PaymentHistoryList","urls.payment_history","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Not explicit; return stable default order.","Filter modal/query params; support dynamic filters.","keyword/search text expected.","pageIndex/pageSize/total expected.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"TreatmentHistoryList","urls.treatment_history","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Not explicit; return stable default order.","Filter modal/query params; support dynamic filters.","keyword/search text expected.","pageIndex/pageSize/total expected.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
